id,overall-ratings,summary,pros,cons
228,2,Very bad management.,Fellow employees made this employer a bit bearable.,"No raises, very bad management. They would scream and curse at employees. Bad compensation packages, there's no even free tea or coffee. All this happened while the CEO was sitting pretty in his office with not so much as a thought as to how their decisions had impacted the lives of others with no warning. It was absolutely humiliating."
951,1,"This company will ruin your life, health and peace, not just your career.",I doubt there are any points to add here.,"The top managers are swindlers, lead by the most unethical, callous, human you will ever come across. They will make your life a living hell and they do as it pleases them. Right from fooling customers, to employees, to their partners, it is all built over a hollow, deceitful foundation. Pick up any current/ex-employee and discuss the company with them, you will find the same feedback. There is zero respect and value for employees. The CEO will yell all day and the other leaders will wag their tails, only to talk crap behind his back. Your fnf and documents will never be fulfilled. Some day this company will come down so bad because it has crippled a lot of hopeful careers and innocent souls."
947,1,Not good,"Nothing good about job, find something else",The company knows where their weaknesses are and refuse to address them.
797,5,Great place to work overall,"Normally get great hours lots of over time if you want it.. easy people to get along with, understanding and caring staff!",You do get a lot of hours some don’t like that
502,3,Same as rest of the industry so they prey on industry newbies,"Nice people that you work alongside, happy hours, ""chill"" day-to-day compared to other companies in the industry","-Compensation plan is a joke considering the responsibilities/expectations for your position
-Getting promoted to Senior Loan Officer is actually a pay cut from $15/hr to $12/hr... unless you are a top producer/don't have a conscience and can consistently fund 5+ loans a month
-Remote work is only for Senior LOs that are Top Producers- everyone else will be in office and being constantly monitored by the Sales Managers
- Literally everything from how long your first conversation with a customer was, to your credit pull % (in total about 20-30 different metrics that are not accurately adjusted are tracked and used against you every day)"
465,3,Not for everyone,"Can leave whenever you want if you have time
Great people to work with
OT when it's available",Doesn't pay well enough have to work OT to survive
363,1,Great company for some,The art and creative environment.,The culture can be toxic. Management plays favorites and if you’re on the wrong side of those favorites… good luck. Favoritism has nothing to do with merit. Working harder will not help. They think you should feel so lucky to work there instead of the company feeling lucky to have talented employees. We really learned that everyone is expendable and they don’t actually care about their employees. I should say that I left on my own. I was not let go.
469,5,Team work,"Everyone was willing to share knowledge and positive information. 
One is able to learn a lot and to benefit from team work.
Positive environment, great employer and a good place to work.","Low pay for employees starting their career with BMO
Too much pressure to show results, sales and referrals
Employees a motivated by bonus and less emphasis on quality."
936,1,DON’T WORK HERE,The only positive thing is listening to all the gossip.,"If you get COVID-19, your two weeks out of work will be UNPAID. You heard that right! There’s currently a COVID-19 + unit there, and you won’t get paid if you become COVID-19 +. Also, not everyone is getting hazard pay. Does that make sense? There are nurses, CNAs, RTs, dietary, etc., that are constantly in contact with staff that are going into the COVID-19 + units, so why isn’t everyone getting hazard pay? It was definitely soul crushing to see the “Heroes Work Here” signs in the front of the building, when administration isn’t even paying us what we’re worth. That is why I left. There are plenty of other facilities that honor hazard pay. Please don’t even apply here."
429,1,Don't work there.,There are none. Horrible experience.,No concessions for people who want to attend school.
8,1,Regrettable Experience - A Workplace To Be Wary Of,- Eye-opening: Teaches you exactly how a company should not be run. - Pays the bills: The compensation is tolerable. - Diverse clientele: Exposure to a broad range of clients if you can tolerate the cons.,- Communication breakdown: There is an endemic lack of communication that exacerbates every problem within the company. - Soul-crushing work-life balance: Expectation to dedicate your life to the job. Personal time and commitments are disregarded. - Dead-end job: Promises of advancement are smoke and mirrors. Don't expect growth or meaningful recognition. - Toxic culture: Cut-throat environment that fosters hostility and stress. Cooperation and collegiality are non-existent.
156,2,Stuck in the past,"The office is nice, and everyone has a very ""can-do"" attitude. The location is close to the city. Working on a life-saving device is fulfilling.","The device has limited utility and a small customer base; a new version has not been successfully commercialized in a decade or so. The organization is slow-moving and little attention is given to fixing systemic problems. Everything has to be brought before upper management to make a decision, and management politics therefore effectively stall almost all productive change.

Not a fulfilling environment for talented engineers and developers; the org is too bureaucratic and hierarchical to innovate properly, and there is little room to advance. Salaries are not competitive with other tech companies now present in the Pittsburgh area."
542,1,Money is the main focus,"Pay and benefits are decent, but could be better.","Company was very mission driven in the beginning, but shifted to profit focus as it grew."
441,3,Nice place to work unless you are working under a specific manager.,You get the freedom to work with latest technologies.,"Immature manager, does not care about employee, only focused with showing off to upper management."
483,1,Stay away,"amazing people, dedicated and caring for their team and clients",poor leadership and highly toxic environment
423,2,Overworked,"Wellness plans for your pets, ability to make your own schedule.","You can't just manage - it is required to work in a support role whether that be a receptionist, assistant or tech. If you are an LVT you can and will end up working in all support roles other than the veterinarian. It takes away the focus of managing. Your hours as a manager count toward the maximum allowed hours for the entire staff. In order to remain profitable you have to burn out your staff with the number of patients you have to see in one day."
779,3,Intéressant mais management à revoir,"Confort, flexibilité, télétravail, bons avantages, opportunité professionnelle","Le copinage, poor management, pression injustifiée au marketing"
950,5,Would absolutely come back,"Good internal interpersonal team dynamics, excellent one-on-one patient care, very clean and technologically up-to-date service space.","Poor hiring/recruiting process, poor top-down management control, local branches often feel disconnected from the bigger entity."
335,5,Great,Everything is amazing everyday all day,None at all perfect place
577,1,Horrible environment- really doesn't care about their employees,You get a paid on time,"The owners don't care about their employees, they don't take covid seriously, there is extremely high turnover and overall just not a good environment to work in. There are only a few people who have been there over a year."
935,2,High turnover,Some good perks and benefits programs,Extremely high turnover; inconsistent and outdated processes
568,5,Great Place to Work,Managers I have worked for are very inclusive and want you to succeed.,Sometimes stressful depending on your location. I didn’t find training to be adequate for certain things.
595,1,Run away if you are in marketing,It’s probably good that everything is so constantly chaotic. It takes years for people to be noticed as incompetent.,Marketing department is in shambles. Very high turnover above the normal rate. Scores poorly in surveys. Band aids instead of fixes. Lack of responsibility and accountability.
531,1,Worst onboarding I've ever had,"-Remote work 
-Kind IT staff","-Terrible onboarding
-Poor communication.
-Paid training wasn't paid for in full
-Was asked to use my own credit card for Azure subscription
-Total disconnect between materials in training and what they expected us to know
-Onboarding device materials and setup were out of date by a year
-Quit before they trained us how to track our time (3 weeks in) and never got paid for my time past training"
582,3,"Great place to work, but...","Great branding and history.
Top notch banking organization.
Some of the most dedicated people working in the front office.","Organization, especially on the IT side is erratic, they sometimes think they are Google.
Personalities tend to focus on advancement rather than getting the job done rate.
Prefer band aids rather than longer term solutions."
708,3,Pay is good. Management not so much.,The pay is good. You earn an hourly wage as well as commission. The product sells itself most of the time.,Commission can bring out the worst in people. Management did not do a good job of keeping things fair. Let employees stay in high volume sales areas all day and not allow a fair rotation of sales.
449,1,Not Worth It,"Team was really good
Good location","Senior management team doesn’t listen to employees…they do what they want and what they think is right…

They are rude and dis respectful towards staff 
and treat them like crap"
454,2,Wouldn't Do It Again,"Get to meet new people, visit new places and live in a new city for the summer","Very strict rules, Poor management and unorganized. Unprofessional management too."
229,1,Poor management and Poor HR,"Diversity, Global Impact, Work/Life Balance","The management doesn't listen, toxic work environment can lead to harassment, or in my case, sexual harassment. My manager sexually harassed me in a work environment where it was just the two of us and to try to prevent my side from being taken seriously, she badmouthed me to the lead manager constantly without provocation. I've yet to hear anything from HR about my case against her. Not recommended."
353,3,"Great potential, does not deliver","Great people, who are smart/friendly/helpful
Great flexibility and work-life balance","Does not appreciate its staff
Poor renumeration and career progression
Poor management of projects"
729,3,Not a great Sales experience,"- CEO who balances work and life for his employees well and has recently hired good people to SLT - the care for parents during COVID was great
- pace of innovation is great giving you many things to talk about with your customers
- Elastic gives health cover benefits but no benefits like gym, salary sacrifice","- multiple APAC leadership vacant for 9 months - hire the right person is important but to management has no contacts or talent list to recruit
- no Customer Success function for most customers in region but the one guy in the job gets paid on all of your work
- poor collaboration between teams and many people doing minimal work - if you are in Sales, you have no support. Strong focus on remote distributed workforce so team culture is weak
- there is a lot of people focused on themselves and KPIs without thinking about the customer or company goals
- feels teams like order ops/deal desk unhelpful. They tell you how to sell and what to say to your customer but have no idea about actual sales
- no HR in region for 1yr
- strong ultra-left leaning ideology"
213,5,great job,"Great co workers and atmosphere, also there was a great customer base.",hours and pay were lower than needed.
80,5,Enjoyed Working for AntWorks,"Work Life Balance
Good People 
Fun Atmosphere",Uncertainty of Job Security during a pandemic
149,3,meh,"discounted products
good salary
job security","stress
overwork
bad retirement plan"
303,1,Run far away,"If you're ex-military or go to church with the boss, then this is going to be a great place to work.","Otherwise, get ready for divisive political battles every day you go in to the office.  They'll snooker you in with high-falutin' talk about making it a great place to work and being there for their employees.  They'll cater a lunch every month and hold meetings where you can speak up and state your views.  But as time goes on, you'll start to realize that no one is listening.  And those meetings are starting to add up, and they're all supposed to be on green time.  And then you'll program will get cut by the government for no reason, and it'll be adios muchachos."
629,1,Worst place to work ever,none your on your own learn yourself,"no training, no support,went onto virgin media campaign and was horrendous no help TLS didnt care"
778,1,Do not work here!,The people you'll work with.,"Employee turnover is insane, very few people make it past 3 months. You apply for one job and they'll have you doing something else. What a joke."
507,2,"Money Hungry, Not for Education",Nice 9-5 schedule with weekends and holidays.,"Education should not be run like a business. The owner of these schools only care about money and it shows. Instructors make poor salaries which makes it difficult to find quality instructors. The tuition is high, and they nickel and dime for everything."
343,2,Not a great place,Some of the people there are really nice,"Management 
Environment 
Expectations
Stress
Lack of empathy for employees mental health"
486,1,I don't recommend it,"- Good pay but so is any other start-up tech company in the US

- I think this company is perfect for fresh college graduates. Stay and learn here for a year or two.","- Employees. CB4 boasts they continually improve the conditions of their employees and that it’s striving to become an employer of the year by winning various awards from places like Inc.com and builtinnyc.com among others. But If you look at LinkedIn data, the medium tenure hasn’t changed since 2009. This means people don’t stay with the company longer, so CB4’s claims of any ‘positive’ changes are not working.

- Customers. Not great advocacy from customers. If you check out their case studies page online, you will notice that majority of the case studies they were able to secure were small, regional convenience stores. By the way, about 5 of these case studies are irrelevant as some of them are no longer CB4’s customers.

- Product. Currently, CB4’s main and only focus is for brick and mortar retailers. Physical retail space is a tough market to be in this digital age. Each year globally more and more people change their buying habits to online as it offers more convenience, safety and saves them time. Many brands leverage rich interactive online experiences that replace those that retail spaces used to offer so there’s less and less incentive to go to the physical store. In my opinion, if CB4 doesn’t rethink its core product offering and re-orient itself to start thinking about shifting global behavior patterns it won’t survive for long.

- Finances. The company doesn’t seem to be financially solid. Any small changes in the market or a loss of a customer almost certainly is going to send a shock wave throughout the entire company. So be ready to navigate in rocky waters if you decide to work there.


Other things worth mentioning:

- Drives image of inclusion and diversity but more of a marketing ploy than a practiced culture. See their leadership page. There are no BIPOC or female VPs as of (April 2021).

- Politics and top-down hierarchy.

- They make people sign vicious and inhuman one-way NDAs and separation agreements. People basically waive any rights to speak up. Don’t be surprised to see so many positive reviews and so little negative ones for that exact reason."
712,2,"Promised opportunity, missed delivery","Fast-paced, casual workplace(if you like this), opportunity to move up job titles if you want to, there are some extremely knowledgeable individuals here to learn from.","Slow career growth, moving up a job title does not equal a pay increase, poor support from upper management in a team lead role, they hire from anywhere and everywhere, no matter background and it made closing loans very difficult, in my time there I saw many consequences of hiring so many unqualified people. The temp agencies they work with also need to do a better job vetting people, I don't blame Nations for the temp agency sending them a lack of talent and collecting a paycheck on it."
134,2,Terrible upper management made work frustrating,"No early hours , could ""check out"" games for product knowledge purposes, employee discount.","toxic upper managment, confusing floor plans, customers expect you to know everything about every game/system, the prices are non negotiable when it comes to trades, so customers get pissed like we just decided how much their worn out controller with drift-stick is worth."
704,1,Recruiter,There is nothing great about this company!,The employees are unfairly paid compared to other staffing companies. Management 100% expects you to love your job  and stay with the company forever.
312,1,Avoid Newsy,"Prior to October 2021, we hired a group of good-hearted people who worked their tails off who owned Election Day 2020 coverage, January 6 and the COVID story with little resources. The people next to you wanted you to do well, and you wanted to them to do well too. Friendly and talented journalists","Since relaunching, Newsy has made problematic hires whether it is people with questionable social media posts or minuscule journalism experience. The company never learned from its mistakes despite relaunching several times of the last five years. Most are overworked, benefits were slimmed down in 2021, anchors are just faces and not leaders and managers don't manage. Internal politics have gotten nastier. Newsy doesn't stand out anymore and it is just trying to be like everyone else...but with purple graphics. The editorial direction has reverted back to the bad habits of traditional journalism, such as ""getting both sides"" and breathless live news coverage. Employees also do not know where they stand with influential managers and get tossed to the side or pigeonholed despite employees pushing back and speaking up.

At least 5 directors were told to apply for the same job they had so they could keep their position during the relaunch. Some reporters were automatically shifted to a new team and didn't have to worry about their jobs while others were told to move to Atlanta with little assistance or guarantees or face termination. Again, this company has made the same mistakes over and over again for years."
723,2,Worker,Decent pay for the job,Management was not good at all.
630,5,Best place for career progression,One the best organisations to help you with your work life balance as the company is very much employee oriented.,None to the best of my knowledge.
1,2,IT is Out of Control,"Salary was good for the position, but only because they never promoted anyone.","Relentless pressure from the top.  Constantly changing direction.  Senior management is easily sold on every shiny new toy, rather than strengthening existing infrastructure."
317,1,Just Don't Do It,"-It was a paycheck and you got paid on time.
-Had some flexibility to work from home during Covid-19.","-Lack of leadership.
-Management is a joke."
707,2,"Lives up to its ""sweat shop"" reputation.","Some cool clients.
Opportunity to learn quickly if you fall under the right manager.
Good digital offerings.","Incredibly top heavy environment. Understaffed at lower levels. Opportunity seems to lessen as you progress. Promised opportunities, such as working abroad, are much more difficult to achieve than let on. Training and development is not as promised. Expectations are way too high. There is no work life balance and the stress level is very, very high. Management is very stingy and doesn't take into account the well-being of junior staff. Would definitely not recommend it to anyone SAE or under."
548,1,the devil you know is better then the devil you dont know,"consistent shifts, overtime is available, bonus","worked hard for more than a year and achieved KPI'S, at the end they ate my bonus just because i was leaving."
873,1,housekeeping,"-good health benefits 
-monday-friday
-beautiful community and town","-have to work every holiday.
-management is terrible and employees do whatever they want.
-no communication .
-human resources doesn’t look out for employees it’s for management and doing whatever is best for the company.
-such a huge turn around with management that rules are constantly changing and you don’t know what’s going on. 
-stressful environment due to confusion with weekly schedule,rude and racist residents. 
-you have to figure out everything by yourself - human resources can’t help you with anything . management is clueless. 
-feeling lost and not appreciated."
533,1,Don’t work here,"Poor management skills, Worst start up company to work for","Management skills 
Director doesn’t treat people with respect"
478,5,Great atmosphere,"Flexibility, care about you, multiple places to move up",Salary low compared to other insurance companies
405,1,2 Years of Slavery,"Office premises is nice both SDB1 and 2 .
canteen is good ,snacks are better then meal.","I was working with birlasoft for 2 years as my bond was for 2 years, UNFORTUNATELY!!
.i joined as fresher done my Genesis Training for 6 month. As fresher i have no idea what project and what technology i will get and i was excited that finally i have chance to get my hand dirty in coding.but they dont have any good project infact any development projects.i was assign to a maintenance project with shift with non technical work, Manager was stupid and dont know how to talk professionally.
i talk to HR but we all know how useful they are.
i tried to talk with lots of Senior guys but no one listening.
my notice period was 3 month , when i talk to HR that can i serve my notice period and bond. the denied that.
then eventually i know that i can serve notice and bond together.So Kudos to HR team.
finally i left the company without any job,
in the covid situation and luckily by god grace i got a job much much better then Birlasoft.
and my friends are still in that ticket allocating and monitoring work.

Please dont delete or remove this. 
let people know how brilliant you guys are."
173,2,Join only if you have no other offers,few people are helpful but not all,"untimely payment, zero scope for learning, unavailability of hardware (at times you have to use your own devices), 3 months notice period, zero benefits (medical / leraning / no canteen)"
126,1,Terrible experience overall - do not recommend!,"- flexibility
- remote
- not much else","- underpaid (leadership acknowledged it, but couldn't change it)
- overworked
- no recognition
- toxic environment full of favoritism
- target of bullying and harassments 
- no career planning/growth/personal development opportunities (internal program had no courses of relevance to my role or desired career progression)
- poor communication
- no transparency
- loss of many amazing people in leadership completely changed the culture and how the department functioned
- had to fight for a referral bonus I was entitled to - and never received"
395,1,Be Careful it's all smoke and mirror.,"Roll out the red carpet during Trainning, company trips, and party 
Generally the staff in office see very nice.","Many undelivered promises from top-down to employees and customers. Sometimes it seems like a blatant lie. 
Inconsistent I with commission py and ability to track. 
DANNY AND JACK ARE NARCISSISTIC LIARS. 
Company parties CEO has ridiculous requests and almost always crosses the line. 
Some staff doesn't understand personal space or the idea of what professionalism is.
Lots if sexist and racist comments thrown around seriously surprise how they get away with it."
421,1,HORRIFYINGLY TERRIBLE. DO NOT WORK HERE,There are absolutely no pros to working here.,"The upper management family - a bunch of crazies - write false positive reviews on here. Mark my words and pay attention to the negative reviews only - because they are truthful. 
This company is a dirty pyramid scheme. You are forced to attend insane cult conferences twice a year where you watch the CEO beat off to the sound of his own psychobabble for HOURS ON END. They have zero respect for their employees and the turnover rate is insanely high.

You will be yelled and and diminished by upper management constantly. They have no taste and this company will fail within the next 2 years."
553,3,Strong Financially Stable Company - Do Your Research,"Could achieve a 4 ☆☆☆☆ rating with right Management Acions.
Pros:
+Good pay
+Good technology 
+Good transferable technology to other companies
+Strong Business Financials &amp; Backlogue.
?Possible career improvements with the ongoing acquisitions and restructuring?
?Potential to become a more favorable work environment as conditions settle down?","Corp. Management established New Culture where People are totally expendable.
1. Poor Leadership and communication top to bottom.
2. Working environment, Highly Politicized, low level of Integrity, Honesty, Trust and Respect. Contradicting company's ""Core Principles and Values."" (greatest challenge!)
2. Lowered priority of quality &amp; schedule to customer negatively impacting employee morale. (future unclear)
3. Lack of job advancement (may change)
4. Struggling with acquisitons and restructuring (may change).
4. Mediocre Benefits (only improve as competitors)⁷"
904,1,"Disfunctional family, lack of direction, high churn",Good pay but that is needed. Also nice colleagues and office is fine.,"Working there is like being part of a disfunctional family with an narcissistic  step father who travels often so leaves his son to rule the house. Everyone is scared of the Father, so just perform tasks to keep him happy even if that means making incorrect decisions."
91,4,I enjoyed working at Merck until my department was OUTSOURCED to India.  Seems to be the trend.,Work life balance.  Good Salary,TOO much management not enough workers.
940,2,A shambles,Works to support civilians and humanitarian law in the world's most fascinating and intractable conflicts. Very committed staff. Interesting work. Offers unbeatable life experiences.,"Approach to staff is part military-style with strict and inflexible ruling. May make it less suitable for non-medical outsiders with non-ICRC experience. HR rules and treatment of staff can sometimes seem shambolic, arcane, and cruel, frankly."
182,1,Do not consider them.,"Nothing, worst company ever. Do not work here.","Everything , they say they would move you up but nothing but lies"
275,3,"Too big, too slow",Lots of opportunity for movement due to size of the organization.,Just too big to get anything done. A lot of bloat and upper management. Compensation doesn't seem commensurate with stress and work levels. Work life balance isn't great.
896,5,Amazing small company filled with great people,great opportunity and amazing people,none to my knowledge ; amazing place overall
70,4,Stability,"flexibility with schedule and WFH, great benefits",no growth in yearly pay
292,2,"Big dream, but just a dream",Offer competitive compensation and benefits,Unmatured software architecture and college project
132,1,Terrible place,Friendly officers you work with,"Management is terrible
Pay
Expectations, often doing work that should be done by maintenence companies.
No covid safety and cars not cleaned after positive test results."
301,3,"Excellent company, bring your gusto to make your own success","Private company with a great business model and company structure, offers wonderful opportunities, rewards persons that show ability to take on responsibility","Growing so fast, their training and regional teams struggle to have time to support on-site staffs, so communication is slow, and leadership goes to the fires; Also, there is lots of corporate reporting that takes time away from on-site work."
425,2,It's Difficult to be Talented at Ingram,"Ingram has some of the best employees - people who make it worth giving your all, because you know they're doing the same and want to eliminate roadblocks however you can within your scope of influence.","I saw insight and recommendations from highly-skilled employees looking to grow the business and increase internal efficiencies bypassed for politics and empowerment of the wrong people. Competition between business units and zero interference from VPs of toxic behavior, such as exclusion and elitism, defined the workplace culture - while members with relevant expertise were pushed to the side. Several employees execute tasks covered by multiple roles at other companies and aren't paid market value to do so. Employees also aren't allowed to move to other roles within the company that may better suit them if leadership prefers to keep them where they are."
327,1,Tesla Owner Advisor,"Good stable income, employee stock options at the 4 year mark, super fun people and work environment.","No work life balance,  zero weeends off, work every major holiday,  you can make several times the money selling other vehicle brands.  Every one of my friends that sell other car brands make much more then the Owner Advisors  at Tesla and don't work nearly as many  hours."
145,1,Avoid,"Full time employees treated like contractors. Easy to get job offer but can get fired without notice and without severance. Age, gender and race discrimination rampant in Mrm team from top down",Incompetent management from top down. Many cheap h1 visa laborers running show with limited understanding of Us financial system and financial markets. John waters incompetent.
424,1,Young &amp; Inexperienced Management,- Relaxed atmosphere. - Decent benefits. - Remote work. - Fun company doing cool things within the camping space. - $500 annual camping credit if you book a stay at a participating campground. - Occasional meetups downtown (in major hubs),"- Pay might seem high but they don't offer bonuses and compensation increases are less than the rate of inflation. - Management is young and some managers really have no clue what they are doing and some are too sensitive for feedback or coaching. - Operationally still have a lot of things...a lot, to learn and figure out. - If you need good structure and supportive leadership, you could be very disappointed."
581,3,Easy to get hard to do,"Set schedule, easy to get hired, hour lunch break",Takes time to make decent money and you hit a glass ceiling within 3 years. Benefits are meh. Professional growth is hard to come by.
136,3,Good,"Get raises often, opportunities for promotions if you want them, flexible schedule.","Favoritism among employees, catty workers, lots of high schoolers who bring drama, lazy management sometimes, management changes often, lazy employees who don’t pull their load."
451,1,Petty and unprofessional,Working around animals is always a joy. Decent pay,"Job description was not accurate. Thrown onto a register without training. Once I had quit, I was sent my w-2 but not any of my checks. They kept my last paycheck and claimed they didn’t have it. Had to contact HR to get a reprint."
165,1,Professional Catfish,"The first thing that comes to mind is - None. 

But to be serious, two things: 
- The product HAS SO MUCH POTENTIAL that it will never reach.
- The people (whoever is left/or already quit anyway) - and yes, this statement 1000% excludes the cofounders.","If you want: 
-tech bro energy sans tech vests
-no work-life balance 
-the bare minimum when it comes to benefits, salary, social connection, and inclusivity 
-unnecessary emotional labor 
-to see your coworkers distressed and confused
-have negative psychological safety
-experience gaslighting and retaliation



then this is the place for you."
29,1,Save your Mental Health,Nice office... modern building... free coffee,"Be prepared to not sleep or eat ... because all that matters is work.... forget a lunch break? Never heard of one 
Systems are so outdated ... Makes no sense... waste of time could be done so much more efficiently and effectively if the systems were modern... who even uses Excel nowadays???!!"
774,1,Not worth your time,Helping small business have a voice,"District manager is a joke. First mistake not introducing himself. Second insisting a female to drive in the same car with him. Third, smoking when you informed him that you are Asthmatic. Fourth, going in with urgency and leaving so quickly is disrespectful. Fifth, It’s all amount the money! Sixth, Someone needs to inform them that it takes 40 hours to learn their spill, so their need to pain folks for that."
194,1,Not A Company Who values their employees.,"None, the company has not shown any endearing qualities the entire time I was there. Across All roles I worked.","Every employee who is in a production role is only seen as a seat. They do not look out for the wellbeing of their employees unless legally required to, and even then, they cut corners wherever they can. Their driving value is to look out for the bottom line, and they will spend as little as possible and avoid responsibility wherever it lets them save money. They are a predatory employer and will exhaust a workforce and adjust their standards to allow them to make as much money as possible. They do not practice the things which they advertise to their clients unless they have someone on location. If you are not in a production role, then you are held responsible for every situation where someone else drops the ball in process or procedure, taking up the slack and making sure goals are met, regardless of where the lapse occurred. There are no performance incentives, nor appreciation efforts made for support staff. They will run you into the ground and do not care about your mental health at all."
389,1,Not recommended,There are no pros here,Very very negative work environment
853,1,Avoid like the plague,Pretty much nothing aside from the nice building location I’m Docklands,Literally no one cares about you - they dangle the promise of a contract in your induction like a carrot on stick only to whip you work exactly like a donkey People getting fired left right and centre like some reality tv show with no explanation and no follow up
170,4,Great W/L Balance with lots of development opportunities,"Great W/L Balance , Great Developments , Good environment , lots of data to work with ,","Salaries  , evaluation system , Not a lot of conferences , not a lot of asset team work."
706,1,Avoid this company,Pre-IPO bank based in San Francisco,"1. Varo called themself a fintech but they are nothing but a regional bank, penny-pinching, and slow to move. 
2. Varo claims to have more than 4 million customers but a very small portion of it is daily active. Avg customer account balance is in double-digit and most are $0, Their target customers are unbanked and low income, while its a noble idea to provide financial services to this segment, but there is a good reason why large banks avoid this segment. Its too expensive and doesnt contribute to profit. Unfortunately, people with $0 struggle with daily expenses, and they cannot use bank's profit-making products like lending. Varo will never go profit, it's the VC's money that keeping it afloat far now once that dry's up then it is destined to sink. Varo right now makes revenue through ATM fees, they leech these poor people. So if you are thinking that its the next Chime then it's not. Bay Area has enough fintech startups, this is not the one.
3. Other new banks dont have a bank charter, they invest in company's growth and making great products. Varo claims that bank charter is their strength but its not, they spent more than $125 million of VC money to get this charter and now they are regulated like any other bank which is expensive. I think they should have not got the charter so early. SOFI got the bank charter 12 yrs after getting founded, for the first 10 yrs their focus was user growth.
4. Varo compares itself with SOFI and valued its stock at $7.88 but SOFI is 8 times bigger than Varo and is profitable, SOFI's stock is $6.5 (Aug 2022). Money Lion stock is $1.25 and they are 3 times bigger than Varo, I think Varo is a penny stock. I will short Varo if I can.
5. Varo uses diversity and inclusion only in its marketing, in my 6 months there, I have not seen a single person of color. Just check their CEO, CPO, CMO, its a complete whitewash. Having few Chinese and Indians in a Silicon Vally company does count."
141,4,A good place to work despite a few characters,"Good benefits, annual leave, pension, car allowance, Global leadership has a good philosophy that needs to trickle down to the rest of the organization",Some managers play favorite and this affects growth prospects. HR in my station was not supportive of the associates
174,5,Fun Job,"Great products, strong ethics, fun gig.",Upper Management was cult-like and was hard to move up if you weren't cool enough.
7,1,Failing Product & Failing Management,"Decent work life balance
Opportunity for learning","Growth within company always based on favouritism and whoever is closest to the boss
No 13th month, no performance bonus, no employee stock options
CEO made a touching speech with tears that everyone will retain their jobs in 2020, but quietly staff were being let go and those who stayed on were disappointed with her lies and also chose to resign"
746,1,Just don't do it,"- You'll meet tons of other people who you'll make friends with
- You'll get experience in many different aspects in and out of the warehouse
- Surprisingly the healthcare options are great","- Everything else. I know it looks enticing being a newly grad or you need a job... the website shows robots, clean warehouses, friendly faces, but it's not even close. There are no robots, forklifts are old and falling apart, the amount of politics is astounding, and the pay is not competitive. 
- Favoritism. As others have said, if you're not a favorite, it doesn't matter how much knowledge or experience you have, you're not moving anywhere.
- You will work 50-60 hours a week until you're burned out.
- I've watched entire project management and warehouse teams for a market resign or find other jobs."
479,1,Worst job in my life,Overtime pay on the weekends,"Micromanagement, unrealistic KPI, low salary and mental trauma"
74,2,Not what you think,"On the surface the HR team seems a like an encouraging bunch , but when you dig deeper they are just trying to keep their heads above water. Averaging over 100 plus open jobs with a time to fill at about six months , its like a digging a hole on a beach with a cup. The budget is shoestring but they have high hopes. Its a no win with you don't have the right people on your side.","Pay , work life balance"
911,4,Fun place to work,"Great company, great people, work hard play hard environment, you get out what you put in","high turn over, can be a grind"
814,5,Nice company,Everything this company is good,Nothing in this company is bad everything is good
239,1,Rollercoaster,"extreme paced learning experience, established structure you just need to learn and adapt to, looks good on your resume, friendly coworkers (if you're not management)","insane micromanaging, lower level staff are overworked and underpaid, inflexible management, unable to impact change or improvements, very frequent restructuring and redundancies"
146,4,"Great CEO, other execs...not so much",Liberal environment and socially vibrant culture,There is some bullying behavior by senior leaders but very difficult to report or professionally resolve.
793,5,"Very good, very lean","Excellent CEO, but very tight with cash. Everyone worked super hard",Constant pressure — it’s a startup!
235,2,Right hand doesn't know what the left hand doing,Great team but hard to communicate. On site sushi chef,"Old timer are too old time to accept new things. AHM, HAM and AHFC are all in power conflict on who will gets what. Manager thought they are doing you a favor on giving you a job???? What were they thinking??? It is a mutual relationship."
221,1,"Drink the Kool Aid or leave, free thinkers need not apply.",They pay you on time.,"The CEO is rarely heard from apart from a weekly email that contains little of substance. If the CEO is on a podcast or anywhere else, you will be encouraged to listen. The whole thing gives a real cult vibe.

Enjoy being tested, on everything? Good news, you will be tested on everything. 

Management may say they care but they don't,  it shows on a day to day basis. You are nothing but a KPI measurement to them."
924,5,Heavy Machine operator,Learning about Engineering and installing parts,Trying to compete additional tasks
501,1,Teamwork is lacking,It's not yet too late for the company to do something and fix all the mess up. But they would need everyone's cooperation.,Their communication strategies don't work and things get messed up because of this. They would go on doing their own thing if they don't fully understand something. Teamwork is lacking.
133,2,Underpaid and Understaffed,-Easy to move up with just a small amount of effort -Friendly teams -Flexibility for different roles,-Long hours -Understaffed. Most of the time we were working with skeleton crews -Constant demands and unorganized direction from upper management.
